Index,Budget 2019-2020 Revenue,Budget 2020-2021 Total,Actual 2018-2019 Capital,Budget 2019-2020 Total,Budget 2020-2021 Revenue,Actual 2018-2019 Total,_full_text,Particulars,Revised 2019-2020 Total,Actual 2018-2019 Revenue,Budget 2020-2021 Capital,Revised 2019-2020 Revenue,Budget 2019-2020 Capital,_id,Type,Revised 2019-2020 Capital
,15,26.22,4.84,25,13.22,21.93,'10':6 '13':12 '13.22':11 '13.42':8 '15':5 '17.09':2 '18.42':10 '21.93':4 '25':7 '26.22':13 '4.84':3 '5':9 'net':1,,18.42,17.09,13,13.42,10,26,Net,5
4,,,,,,,'4':1 'author':3 'nation':2,National Authority,,,,,,27,,
4.01,100,100,...,100,100,...,"'100':5,6,9,10 '4.01':1 '50':7,8 'budgetari':3 'gross':2 'support':4",Gross Budgetary Support,50,...,...,50,...,28,,...
4.02,-100,-100,...,-100,-100,...,"'-100':10,11,14,15 '-50':12,13 '4.02':1 'afforest':8 'amount':3 'compensatori':7 'fund':9 'less':2 'met':4 'nation':6",Less Amount met from National Compensatory Afforestation Fund,-50,...,...,-50,...,29,,...
,...,...,...,...,...,...,'net':1,,...,...,...,...,...,30,Net,...
,523.5,671.27,45.67,588.02,513.72,537.88,'157.55':18 '45.67':9 '46.55':15 '492.21':8 '501.27':14 '513.72':17 '523.5':11 '537.88':10 '547.82':16 '588.02':13 '64.52':12 '671.27':19 'centr':7 'establish':3 'expenditur':4 'total':2 'total-establish':1,Total-Establishment Expenditure of the Centre,547.82,492.21,157.55,501.27,64.52,31,,46.55
,,,,,,,'central':1 'schemes/projects':3 'sector':2,Central Sector Schemes/Projects,,,,,,32,,
,,,,,,,'build':5 'capac':4 'environment':1 'knowledg':2,Environmental Knowledge and Capacity Building,,,,,,33,,
5,,,,,,,'5':1 'build':6 'capac':5 'forestri':2 'train':3,Forestry Training and Capacity Building,,,,,,34,,
5.01,10.8,11.37,...,10.8,11.37,8.18,"'10.8':6,7,8,9 '11.37':10,11 '5.01':1 '8.18':4,5 'compon':3 'programm':2",Programme Component,10.8,8.18,...,10.8,...,35,,...
5.02,...,...,...,...,...,20.34,"'20.34':4,5 '5.02':1 'compon':3 'eap':2",EAP Component,...,20.34,...,...,...,36,,...
,10.8,11.37,...,10.8,11.37,28.52,"'10.8':9,10,11,12 '11.37':13,14 '28.52':7,8 'build':6 'capac':5 'forestri':2 'total':1 'train':3",Total- Forestry Training and Capacity Building,10.8,28.52,...,10.8,...,37,,...
6,75,75,...,75,75,112.85,"'112.85':6,7 '6':1 '75':8,9,10,11,12,13 'eco':3 'eco-task':2 'forc':5 'task':4",Eco-Task Force,75,112.85,...,75,...,38,,...
,85.8,86.37,...,85.8,86.37,141.37,"'141.37':8,9 '85.8':10,11,12,13 '86.37':14,15 'build':7 'capac':6 'environment':3 'knowledg':4 'total':2 'total-environment':1",Total-Environmental Knowledge and Capacity Building,85.8,141.37,...,85.8,...,39,,...
,,,,,,,'coastal':2 'manag':3 'nation':1 'programm':4,National Coastal Management Programme,,,,,,40,,
7,,,,,,,'7':1 'coastal':3 'mission':4 'nation':2 'ncm':5,National Coastal Mission (NCM),,,,,,41,,
7.01,20,18,...,20,18,9.55,"'16':8,9 '18':10,11 '20':6,7 '7.01':1 '9.55':4,5 'compon':3 'programm':2",Programme Component,16,9.55,...,16,...,42,,...
7.02,75,85,...,75,85,120,"'120':4,5 '7.02':1 '75':6,7 '80':8,9 '85':10,11 'compon':3 'eap':2",EAP Component,80,120,...,80,...,43,,...
,95,103,...,95,103,129.55,"'103':12,13 '129.55':6,7 '95':8,9 '96':10,11 'coastal':3 'mission':4 'nation':2 'ncm':5 'total':1",Total- National Coastal Mission (NCM),96,129.55,...,96,...,44,,...
,,,,,,,'develop':6 'environ':1 'manag':3 'protect':2 'sustain':5,"Environment Protection, Management and Sustainable Development",,,,,,45,,
8,10,10,...,10,10,19.72,"'10':6,7,8,9,10,11 '19.72':4,5 '8':1 'abat':3 'pollut':2",Pollution Abatement,10,19.72,...,10,...,46,,...
